index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4,q_ing_w5,fluid_w5,q_ing_w6,fluid_w6
1,2840,1420,2620,1310,3320,1660,3900,1950,3510,1755,3700,1850
2,1660,1660,1420,1420,1850,1850,1990,1990,1830,1830,2250,2250
3,1340,1680,1140,1430,1500,1875,1570,1960,1470,1835,1850,2310
4,1020,1700,850,1415,1130,1880,1140,1900,1070,1790,1430,2380
5,660,1660,530,1330,740,1840,700,1750,680,1700,960,2390
6,340,1330,160,800,270,1330,240,1200,220,1120,370,1850

