index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4,q_ing_w5,fluid_w5,q_ing_w6,fluid_w6
1,2.84,1420,2.62,1310,3.32,1660,3.90,1950,3.51,1755,3.70,1850
2,1.66,1660,1.42,1420,1.85,1850,1.99,1990,1.83,1830,2.25,2250
3,1.34,1680,1.14,1430,1.50,1875,1.57,1960,1.47,1835,1.85,2310
4,1.02,1700,0.85,1415,1.13,1880,1.14,1900,1.07,1790,1.43,2380
5,0.66,1660,0.53,1330,0.74,1840,0.70,1750,0.68,1700,0.96,2390
6,0.34,1330,0.16,800,0.27,1330,0.24,1200,0.22,1120,0.37,1850

