q_gl,well_0,well_1,well_2,well_3,well_4,well_5
1.7497497497497498,1650.2682087240432,1398.6017858140676,1858.0747304414788,1975.9684376491878,1833.3103474852837,2332.195835830735
1.7537537537537538,1649.8703764528304,1398.2848790481062,1857.8093821689079,1976.249029567598,1833.3497911804352,2331.589375921854
1.7577577577577577,1649.4705752495229,1397.966947695633,1857.5430606616947,1976.5275785311937,1833.3879459741645,2330.9815637718766
1.7617617617617618,1649.0687899629243,1397.647996906631,1857.2757677092582,1976.8040954139674,1833.4248186528914,2330.372406216739
1.7657657657657657,1648.6650053998087,1397.3280317546762,1857.0075050021492,1977.078590984719,1833.4604159049113,2329.761909905175
1.7697697697697699,1648.2592063266488,1397.007057237964,1856.7382741336717,1977.351075908215,1833.4947443217093,2329.150081301486
1.7737737737737738,1647.8513774711532,1396.685078280259,1856.4680766013992,1977.621560746335,1833.5278103991434,2328.536926688213
1.7777777777777777,1647.4415035240227,1396.362099731874,1856.1969138086563,1977.8900559591884,1833.5596205387096,2327.922452168738
1.7817817817817818,1647.0295691403994,1396.0381263706136,1855.9247870660595,1978.1565719062605,1833.5901810487355,2327.3066636699978
1.7857857857857857,1646.6155589415448,1395.7131629027217,1855.6516975929678,1978.4211188474958,1833.6194981455901,2326.6895669449787
1.7897897897897899,1646.1994575162507,1395.3872139637829,1855.3776465189148,1978.6837069443945,1833.647577954835,2326.071167575298
1.7937937937937938,1645.7812494224431,1395.0602841196658,1855.1026348850528,1978.9443462610857,1833.6744265124094,2325.451470973667
1.7977977977977977,1645.360919188629,1394.7323778674047,1854.8266636455894,1979.2030467654063,1833.7000497657773,2324.830482386456
1.8018018018018018,1644.9384513152927,1394.4034996360954,1854.5497336691112,1979.45981832993,1833.7244535750367,2324.208206896001
1.8058058058058057,1644.5138302764394,1394.0736537877626,1854.2718457400015,1979.7146707330176,1833.747643714065,2323.58464942311
1.8098098098098099,1644.0870405208525,1393.7428446182382,1853.9930005597707,1979.9676136598446,1833.7696258716003,2322.959814729392
1.8138138138138138,1643.6580664736325,1393.4110763580045,1853.7131987483695,1980.218656703395,1833.7904056523312,2322.3337074195715
1.8178178178178177,1643.2268925373805,1393.0783531730433,1853.4324408455648,1980.4678093654916,1833.8099885779843,2321.706331943839
1.8218218218218218,1642.7935030936574,1392.7446791656594,1853.1507273121288,1980.7150810577514,1833.8283800883592,2321.0776926001017
1.8258258258258258,1642.3578825042623,1392.4100583753159,1852.868058531195,1980.9604811025856,1833.845585542402,2320.447793536207
1.82982982982983,1641.9200151124187,1392.0744947794124,1852.5844348094633,1981.2040187341488,1833.861610219205,2319.816638752157
1.8338338338338338,1641.4798852441659,1391.7379922941293,1852.2998563784574,1981.4457030992899,1833.8764593190367,2319.1842321022987
1.8378378378378377,1641.037477209542,1391.400554775171,1852.0143233957506,1981.6855432585116,1833.890137964372,2318.5505772974952
1.8418418418418419,1640.592775303774,1391.0621860185702,1851.7278359461473,1981.923548186873,1833.9026512008304,2317.9156779071754
1.8458458458458458,1640.1457638084994,1390.722889761444,1851.440394042862,1982.159726774924,1833.9140039982017,2317.2795373614676
1.84984984984985,1639.6964269929454,1390.382669682762,1851.1519976287366,1982.3940878296103,1833.9242012513878,2316.642158953277
1.8538538538538538,1639.2447491150242,1390.0415294040804,1850.8626465773025,1982.6266400751524,1833.9332477813455,2316.003545840263
1.8578578578578577,1638.790714422556,1389.6994724902902,1850.5723406940033,1982.8573921539582,1833.941148336057,2315.3637010468938
1.8618618618618619,1638.334307154305,1389.3565024503257,1850.2810797172508,1983.0863526274713,1833.94790759143,2314.722627466393
1.8658658658658658,1637.8755115410986,1389.0126227379271,1849.988863319562,1983.3135299770581,1833.9535301522346,2314.0803278626986
1.86986986986987,1637.4143118068973,1388.6678367522852,1849.6956911086345,1983.5389326048307,1833.9580205529824,2313.4368048723773
1.8738738738738738,1636.9506921698153,1388.322147838799,1849.4015626283901,1983.7625688345179,1833.9613832588288,2312.7920610065066
1.877877877877878,1636.4846368432163,1387.9755592897386,1849.106477360088,1983.9844469122804,1833.9636226664775,2312.1460986526045
1.8818818818818819,1636.016130036694,1387.628074344918,1848.8104347233154,1984.2045750075495,1833.9647431050123,2311.4989200763866
1.8858858858858858,1635.5451559569924,1387.279696192399,1848.5134340770076,1984.4229612138163,1833.9647488367636,2310.8505274236363
1.88988988988989,1635.0716988091608,1386.930427969117,1848.2154747205336,1984.6396135494597,1833.9636440581792,2310.2009227219964
1.8938938938938938,1634.5957427973249,1386.5802727615812,1847.9165558945924,1984.8545399585241,1833.9614329006354,2309.550107882735
1.897897897897898,1634.117272125728,1386.2292336064606,1847.616676782244,1985.0677483115055,1833.958119431256,2308.898084702447
1.901901901901902,1633.6362709996629,1385.877313491288,1847.315836509905,1985.2792464061367,1833.9537076537476,2308.2448548648485
1.9059059059059058,1633.1527236263478,1385.5245153550516,1847.0140341482556,1985.4890419681437,1833.9482015092117,2307.590419942424
1.90990990990991,1632.6666142157992,1385.1708420888115,1846.7112687131919,1985.697142651998,1833.9416048768906,2306.9347813980985
1.9139139139139139,1632.1779269817475,1384.8162965363467,1846.407539166782,1985.903556041676,1833.9339215750033,2306.277940586916
1.917917917917918,1631.6866461424856,1384.4608814947253,1846.1028444181327,1986.1082896513906,1833.9251553614708,2305.619898757636
1.921921921921922,1631.192755921711,1384.1045997149251,1845.7971833243435,1986.311350926323,1833.9153099347327,2304.960657054381
1.9259259259259258,1630.6962405493027,1383.747453902418,1845.4905546913567,1986.5127472433426,1833.9043889344557,2304.3002165181542
1.92992992992993,1630.197084262255,1383.3894467177495,1845.1829572748445,1986.7124859117234,1833.892395942289,2303.638578088494
1.9339339339339339,1629.6952713053015,1383.0305807771142,1844.8743897810714,1986.9105741738458,1833.8793344826101,2302.975742604905
1.937937937937938,1629.1907859318817,1382.6708586529357,1844.5648508677714,1987.1070192058949,1833.865208023241,2302.3117108084866
1.941941941941942,1628.6836124047559,1382.3102828744068,1844.2543391449444,1987.301828118545,1833.8500199761643,2301.64648334336
1.9459459459459458,1628.1737349968453,1381.948855928062,1843.9428531757123,1987.495007957646,1833.833773698224,2300.980060758172
1.94994994994995,1627.6611379919523,1381.5865802583137,1843.6303914771433,1987.686565704895,1833.8164724918424,2300.3124435075497
