index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4
0,575.0,0.0,175.0,0.0,275.0,0.0,400.0,40.0
1,625.0,392.5,250.0,186.42,325.0,432.5,450.0,303.55
2,750.0,427.47,500.0,216.41,400.0,530.0,550.0,382.37
3,825.0,432.5,625.0,194.81,575.0,604.99,600.0,387.11
4,950.0,432.08,875.0,127.12,800.0,620.82,775.0,333.25
5,975.0,431.15,950.0,102.72,975.0,606.92,1000.0,184.74

