index,q_ing_w1,fluid_w1,q_ing_w2,fluid_w2,q_ing_w3,fluid_w3,q_ing_w4,fluid_w4
0,5.75,0.0,1.75,0.0,2.75,0.0,4.00,40.0
1,6.25,392.5,2.50,186.42,3.25,432.5,4.50,303.55
2,7.50,427.47,5.00,216.41,4.00,530.0,5.50,382.37
3,8.25,432.5,6.25,194.81,5.75,604.99,6.00,387.11
4,9.50,432.08,8.75,127.12,8.00,620.82,7.75,333.25
5,9.75,431.15,9.50,102.72,9.75,606.92,10.00,184.74

